RPM,WindMagnitude,AngleDegrees,AzimuthAngle,Fx,Fy,Fz,Qx,Qy,Qz
45,0,20,144.0,4.378608586819155e-12,4.8595016899355414e-12,4142.794088786115,5.988098905618244e-11,5.5861981707039376e-11,-1381.9931036080006
45,0,20,180.0,3.8491432263754177e-13,4.64805971489568e-12,4142.794088786108,1.1244338793403585e-11,5.2594373300962616e-11,-1381.993103607999
45,0,20,216.0,-2.0895819796695747e-12,3.1187274984745272e-12,4142.794088786103,-1.8956614056264698e-11,3.6283864801589516e-11,-1381.9931036079984
45,0,20,252.0,-3.1613600626201332e-12,1.5356604876615165e-12,4142.794088786112,-3.510436386022775e-11,1.8449242134011e-11,-1381.9931036080002
45,0,20,288.0,-4.1774361747570765e-12,-3.276268145668837e-13,4142.794088786106,-5.281819426272705e-11,-3.4559022310531873e-12,-1381.9931036079977
45,0,20,324.0,-1.691202733411501e-12,-3.0694891073324015e-12,4142.7940887861005,-2.8350655156827997e-11,-3.1737279471144575e-11,-1381.9931036079968
45,2,-20,0.0,19.995328548600884,-1.1582925444558083,3960.2843342451656,168.78409098901832,7.109211464763703,-1322.184349953891
45,2,-20,36.0,20.037952275802986,-1.0228180024687556,3975.984720168392,169.62345439286847,8.274319802207366,-1327.321726916377
45,2,-20,72.0,20.108000479940188,-1.2898288278241634,3985.764760973592,170.23369106292404,6.737422890671796,-1330.5220724245864
45,2,-20,108.0,20.378116467505787,-1.2857374230953655,3985.764760973592,171.94982431897338,6.635288497577245,-1330.522072424586
45,2,-20,144.0,20.13988293737336,-1.0212740746306292,3975.9847201683997,170.27105248476866,8.235778483998994,-1327.32172691638
45,2,-20,180.0,19.67243802700336,-1.1631833168059367,3960.2843342451583,166.73266424023436,7.231300600617331,-1322.1843499538898
45,2,-20,216.0,19.610167741207842,-1.2909057477111827,3944.7504893256396,165.73373441611776,6.104302370164781,-1317.1018269607935
45,2,-20,252.0,19.505106265552143,-1.036274951491484,3935.2398691600188,164.8330421167189,7.546229590849446,-1313.9902207790515
45,2,-20,288.0,19.253897405211227,-1.0400799729103398,3935.2398691600106,163.23703188670876,7.641214951517338,-1313.990220779048
45,2,-20,324.0,19.51270501164645,-1.292382000476433,3944.750489325635,165.11452252520198,6.141154304821635,-1317.1018269607919
45,2,-15,0.0,20.688141645084748,-1.2071823715245507,4005.1857452670015,174.486115779047,7.338900464193284,-1336.8776677739627
45,2,-15,36.0,20.667966076334597,-1.0612210803960729,4021.2756252506215,174.81941251256796,8.539921918957209,-1342.143571116098
45,2,-15,72.0,20.702493747431664,-1.3390392944697473,4031.2746314234887,175.128802031346,6.913296015085688,-1345.4162449483874
45,2,-15,108.0,20.985225107379872,-1.3347568066643893,4031.274631423486,176.92508478272305,6.806391584440716,-1345.4162449483858
45,2,-15,144.0,20.775038554294085,-1.0595992702686399,4021.2756252506306,175.4996782084189,8.499436412606213,-1342.1435711161014
45,2,-15,180.0,20.346971343119883,-1.2123500248569987,4005.185745267007,172.31855173944786,7.467901424438956,-1336.8776677739645
45,2,-15,216.0,20.34704425454361,-1.3519906021931645,3989.219165519093,171.82049437437468,6.2947950124366905,-1331.6524992191817
45,2,-15,252.0,20.277483218388014,-1.0833321700840257,3979.4196303661247,171.21942718593112,7.8447500290768435,-1328.4457243891493
45,2,-15,288.0,20.00945899260028,-1.0873918912202372,3979.4196303661165,169.51658356143773,7.946093499679851,-1328.445724389147
45,2,-15,324.0,20.243447210726025,-1.3535597704596054,3989.219165519091,171.16230922314378,6.3339664116658545,-1331.65249921918
45,2,-10,0.0,21.231606203002737,-1.248079310545959,4051.078059184737,178.9212197852943,7.515490707101694,-1351.8983457984245
45,2,-10,36.0,21.14927134932482,-1.0937028829857955,4067.4333118924487,178.7474406471714,8.73541965461827,-1357.2522248263215
45,2,-10,72.0,21.147966685907697,-1.3783067923752368,4077.5742510222963,178.75352191828028,7.042597353933836,-1360.5720545071092
45,2,-10,108.0,21.43921708199361,-1.37389526805755,4077.574251022291,180.60392883075139,6.932471764142341,-1360.5720545071104
45,2,-10,144.0,21.259948975445777,-1.0920264662400583,4067.4333118924487,179.45061100226962,8.69357099453763,-1357.2522248263224
45,2,-10,180.0,20.876967131202562,-1.2534509732330752,4051.07805918473,176.6680843434185,7.6495843856613845,-1351.898345798423
45,2,-10,216.0,20.938902766075664,-1.4031029266452117,4034.8021154197154,176.67311016820094,6.446365332989348,-1346.570825755957
45,2,-10,252.0,20.90548841971199,-1.1241162201734385,4024.78948331467,176.37683690250657,8.082883251858348,-1343.2936395478594
45,2,-10,288.0,20.62429829589303,-1.1283753631131062,4024.789483314662,174.59034611717772,8.189204920967732,-1343.2936395478553
45,2,-10,324.0,20.83060247692367,-1.4047433342352567,4034.802115419709,175.98504379520213,6.48731509087905,-1346.570825755955
45,2,-5,0.0,21.618523416226505,-1.2803023197556997,4097.607788577594,182.03317100822474,7.636958130492072,-1367.1308683789355
