Time_s,RotorSpeed_rad_s,Qaero_Nm,Predicted_WindZ
1.78,39.95613305841848,-1339.8828869825393,3.1271320124954762
1.79,39.94124929864001,-1339.883976400616,3.1384061940444017
1.8,39.92650068203367,-1339.885066842681,3.1495810677510203
1.81,39.9118868425413,-1339.886158288764,3.1606568306104386
1.82,39.897407413750734,-1339.8872507192812,3.1716336809045647
1.83,39.883062028902486,-1339.8883441145629,3.1825118181848833
1.84,39.868850320896456,-1339.8894384549576,3.1932914432624546
1.85,39.854771922298575,-1339.890533720892,3.203972758197432
1.86,39.84082646534745,-1339.8916298927816,3.2145559662866283
1.87,39.82701358196097,-1339.8927269513267,3.2250412720560924
1.88,39.81333290374289,-1339.8938248772445,3.2354288812464578
1.89,39.799784061989406,-1339.89492365106,3.245719000799152
1.9,39.7863666876957,-1339.8960232537215,3.2559118388529704
1.91,39.77308041156242,-1339.8971236662087,3.266007604728026
1.92,39.75992486400222,-1339.8982248693064,3.27600650891171
1.93,39.746899675146224,-1339.8993268439365,3.2859087630518022
1.94,39.73400447485045,-1339.9004295712514,3.295714579946571
1.95,39.72123889270223,-1339.90153303253,3.30542417353241
1.96,39.70860255802664,-1339.9026372089347,3.3150377588697015
1.97,39.69609509989285,-1339.9037420816207,3.324555552133207
1.98,39.68371614712051,-1339.9048476319942,3.333977770604289
1.99,39.67146532828604,-1348.101528217508,3.4469829249297916
2.0,39.658790734034135,-1356.022777637549,3.5568144313430246
2.01,39.64626206590698,-1356.639666190124,3.574190297073219
2.02,39.63386222587828,-1356.057303559177,3.5763058608267517
2.03,39.621591330025126,-1356.452477903189,3.5906877055105486
2.04,39.60944898918965,-1356.1907391635075,3.59666340061354
2.05,39.59743482879998,-1356.3670967359178,3.6080860755718636
2.06,39.58554847362729,-1356.2513866136271,3.6157166236525775
2.07,39.5737895482394,-1356.3303893970956,3.625716253125148
2.08,39.56215767699389,-1356.279584519792,3.633976967808744
2.09,39.550652484044754,-1356.315318999627,3.6432384066111148
2.1,39.53927359334853,-1356.2933614608132,3.6516741333100953
2.11,39.52802062867053,-1356.3098661236822,3.6605024138765607
2.12,39.51689321359095,-1356.3007301445075,3.6689112855215775
2.13,39.50589097151102,-1356.3086887224051,3.677442555735338
2.14,39.49501352565912,-1356.3052516947532,3.685735333691115
2.15,39.484260499096834,-1356.3094124735735,3.6940306519591353
2.16,39.47363151472503,-1356.3085087544969,3.70216818144827
2.17,39.46312619528989,-1356.3109820441853,3.7102552224854666
2.18,39.452744163388914,-1356.3112046420506,3.7182206221773004
2.19,39.44248504147693,-1356.3129283192388,3.7261122211836177
2.2,39.432348451872016,-1356.3136518658937,3.73389851739325
2.21,39.42233401676149,-1356.3150427261392,3.7416009154569085
2.22,39.41244135820779,-1356.315989241534,3.7492055437245586
2.23,39.4026700981544,-1356.31723248888,3.756722053932018
2.24,39.39301985843169,-1356.3182783882776,3.764144414150133
2.25,39.383490260762784,-1356.3194562976043,3.77147705156791
2.26,39.37408092676938,-1356.3205466164643,3.7787174208162178
2.27,39.36479147797754,-1356.3216957168215,3.7858676271344684
2.28,39.35562153582349,-1356.322805989079,3.7929266762122236
2.29,39.34657072165934,-1356.323942478139,3.7998956418414895
2.3000000000000003,39.337638656758855,-1356.3250617925903,3.8067742202068224
2.31,39.32882496232314,-1356.326192832171,3.8135630273992938
2.32,39.32012925948631,-1356.327316302726,3.8202620674671266
2.33,39.31155116932118,-1356.3284450392232,3.826871753861697
2.34,39.30309031284489,-1356.3295704573236,3.833392228349064
2.35,39.29474631102452,-1356.3306982525942,3.8398238151278754
2.36,39.28651878478267,-1356.3318246006943,3.846166718015027
2.37,39.27840735500306,-1356.332952023822,3.8524212223351224
2.38,39.27041164253604,-1356.334078813319,3.8585875602929374
2.39,39.26253126820413,-1356.335206081347,3.8646660007229023
2.4,39.25476585280751,-1356.3363330596812,3.870656789229244
2.41,39.2471150171295,-1356.3374602337449,3.8765601880803917
2.42,39.239578381942025,-1356.338587253184,3.8823764495913053
2.43,39.23215556801102,-1356.3397143249103,3.888105833855656
2.44,39.22484619610185,-1356.3408412845004,3.893748596907395
2.45,39.21764988698471,-1356.3419682153526,3.8993049985987387
2.46,39.21056626143994,-1356.3430950358093,3.90477529732963
2.47,39.203594940263415,-1356.3442217740424,3.9101597535409045
2.48,39.196735544271824,-1356.345348385194,3.9154586273738747
2.49,39.18998769430797,-1356.3464748735043,3.9206721802173785
2.5,39.18335101124605,-1356.3476012102935,3.9258006736524163
