RPM,Qaero_Nm,Estimated_WindZ
39.1285608407661,-1356.3577291694728,3.970171045370555
39.12301498543052,-1356.3588532125405,3.974501671080558
39.11757613016848,-1356.359976944158,3.9787495281761007
39.11224389663349,-1356.3611003496453,3.982914881274844
39.10701790657682,-1356.3622234145903,3.9869979956254755
39.101897781852536,-1356.3633461244326,3.9909991370926514
39.09688314442237,-1356.3644684647702,3.9949185721510903
39.09197361636063,-1356.3655904211537,3.9987565678732664
39.08716881985915,-1356.3667119793126,4.002513391922478
39.08246837723205,-1356.3678331251626,4.006189312543307
39.07787191092065,-1356.3689538444569,4.009784598547372
39.07337904349824,-1356.3700741230375,4.013299519306957
39.06898939767492,-1356.3711939470363,4.016734344747778
39.06470259630231,-1356.3723133024355,4.02008934533381
39.060518262378366,-1356.373432175341,4.023364792061075
39.05643601905205,-1356.3745505519216,4.026560956447291
39.05245548962807,-1356.3756684183645,4.029678110521647
39.04857629757156,-1356.376785761037,4.032716526817306
39.0447980665127,-1356.3779025663891,4.035676478360608
39.0411204202514,-1356.379018820812,4.038558238659701
39.03754298276191,-1356.380134510794,4.041362081696989
39.03406537819739,-1356.3812496228466,4.044088281918715
39.03068723089449,-1356.3823641437364,4.046737114228402
39.02740816537791,-1356.383478060102,4.049308853972531
39.02422780636493,-1356.3845913587113,4.0518037769343405
39.02114577876987,-1356.3857040263244,4.054222159322727
39.01816170770866,-1356.3868160499485,4.056564277766034
39.0152752185032,-1356.3879274165104,4.058830409298543
39.01248593668589,-1356.3890381130727,4.061020831353869
39.009793488003965,-1356.3901481266582,4.063135821753438
39.00719749842398,-1356.3912574444107,4.065175658699151
39.0046975941361,-1356.3923660536132,4.067140620764452
39.0022934015585,-1356.3934739416318,4.069030986884307
38.99998454734168,-1356.3945810956625,4.07084703634277
38.99777065837278,-1356.395687503116,4.072589048768727
38.99565136177987,-1356.396793151562,4.07425730412595
38.9936262849362,-1356.3978980285451,4.0758520827017275
38.99169505546445,-1356.3990021216653,4.077373665098672
38.98985730124095,-1356.400105418537,4.078822332225214
38.98811265039991,-1356.4012079068625,4.080198365287418
38.98646073133755,-1361.8505701967465,4.151004221502852
38.98453452103741,-1367.1168298730022,4.219661427745113
38.98271262231447,-1367.5272893120425,4.226321384771296
38.98098354531125,-1367.1405083122172,4.2227451910216525
38.97934724419957,-1367.4035738821617,4.22738106333016
38.97780333770418,-1367.229934978228,4.226376981772288
38.97635145466976,-1367.3475328405882,4.229013960420593
38.97499122392758,-1367.2709684452166,4.22910361244514
38.97372227459705,-1367.3238441971796,4.230772156908254
38.97254423608099,-1367.290425049635,4.2312691825636115
38.97145673806999,-1367.314534349971,4.232428815372917
38.9704594105464,-1367.3002898469256,4.233028751634687
38.96955188378835,-1367.311613021868,4.233884351980347
38.96873378837375,-1367.305889534487,4.234452507364507
38.96800475518423,-1367.3115289256252,4.235095772017858
38.9673644154091,-1367.3095914821158,4.235572915025133
38.96681240054929,-1367.3127036602746,4.236045235146637
