Time_s,RotorSpeed_rad_s,Qaero_Nm
32.61,45.882126919992096,-1300.586732488936
32.62,45.88113013467155,-1300.5865860012818
32.63,45.88012509024116,-1300.5864397940506
32.64,45.87911183612242,-1300.5862938681
32.65,45.87809042164294,-1300.5861482241787
32.660000000000004,45.877060896036106,-1300.586002863177
32.67,45.876023308440814,-1300.585857786027
32.68,45.874977707901145,-1300.585712993586
32.69,45.8739241433661,-1300.5855684867286
32.7,45.872862663689276,-1300.585424266161
32.71,45.87179331762864,-1300.5852803327928
32.72,45.87071615384616,-1300.5851366874863
32.730000000000004,45.86963122090761,-1300.5849933309808
32.74,45.868538567282215,-1300.5848502639692
32.75,45.86743824134244,-1300.5847074873905
32.76,45.86633029136366,-1300.5845650021026
32.77,45.865214765523916,-1300.5844228088276
32.78,45.86409171190365,-1300.5842809083463
32.79,45.86296117848541,-1300.58413930133
32.8,45.86182321315365,-1300.5839979886055
32.81,45.86067786369437,-1300.5838569709679
32.82,45.85952517779495,-1300.5837162490805
32.83,45.85836520304384,-1300.5835758237422
32.84,45.857197986930316,-1300.5834356957055
32.85,45.856023576844244,-1300.583295865599
32.86,45.854842020075814,-1300.5831563342103
32.87,45.8536533638153,-1300.583017102178
32.88,45.85245765515281,-1300.5828781702298
32.89,45.85125494107806,-1300.5827395391714
32.9,45.85004526848011,-1300.5826012095536
32.910000000000004,45.84882868414715,-1300.5824631821347
32.92,45.84760523476625,-1300.582325457522
32.93,45.84637496692314,-1300.5821880363453
32.94,45.84513792710198,-1300.5820509194343
32.95,45.84389416168511,-1300.5819141073475
32.96,45.84264371695285,-1300.5817776006434
32.97,45.84138663908328,-1300.5816414000144
32.980000000000004,45.84012297415201,-1300.5815055061703
32.99,45.83885276813194,-1299.0927885185822
33.0,45.83767624397854,-1297.6540991640054
33.01,45.8364899036836,-1297.5421184316888
33.02,45.83529683087711,-1297.6479609242963
33.03,45.83409698240793,-1297.5762514988846
33.04,45.8328904067497,-1297.6238591514036
33.05,45.83167714958545,-1297.5918947536843
33.06,45.83045725657717,-1297.6129797045282
33.07,45.82923077328428,-1297.5986988987256
33.08,45.827997745165845,-1297.6079957654888
33.09,45.826758217580256,-1297.6015746856408
33.1,45.825512235785034,-1297.6056327396595
33.11,45.824259844936606,-1297.6027052082486
33.12,45.8230010900901,-1297.6044352385786
33.13,45.82173601619915,-1297.6030607336045
33.14,45.82046466811564,-1297.6037564257094
33.15,45.81918709058958,-1297.6030724942243
33.160000000000004,45.817903328268834,-1297.603308820554
33.17,45.81661342569896,-1297.6029321513913
33.18,45.815317427323,-1297.6029646565996
33.19,45.81401537748129,-1297.6027248905289
33.2,45.81270732041126,-1297.602667151022
33.21,45.811393300247275,-1297.602488573833
33.22,45.810073361020386,-1297.6023910694896
33.230000000000004,45.80874754665821,-1297.6022400317345
33.24,45.807415900984715,-1297.6021251989525
33.25,45.806078467720035,-1297.6019867464897
33.26,45.80473529048031,-1297.6018645581767
33.27,45.8033864127775,-1297.6017320456112
33.28,45.80203187801921,-1297.6016069353734
33.29,45.80067172950851,-1297.6014774105327
33.3,45.79930601044379,-1297.6013513498483
33.31,45.797934763918576,-1297.6012235016192
33.32,45.79655803292136,-1297.6010973676384
33.33,45.795175860335455,-1297.600970614158
33.34,45.79378828893881,-1297.6008447978904
33.35,45.792395361403884,-1297.6007188817916
33.36,45.79099712029745,-1297.6005935579878
33.37,45.789593608080466,-1297.6004683657206
33.38,45.78818486710794,-1297.6003436127921
33.39,45.78677093962873,-1297.6002190947597
33.4,45.78535186778545,-1297.6000949486313
33.410000000000004,45.78392769361429,-1297.5999710838144
33.42,45.78249845904487,-1297.5998475614122
33.43,45.78106420590012,-1297.5997243412812
33.44,45.77962497589615,-1297.5996014509253
33.45,45.778180810642056,-1297.5994788726698
33.46,45.77673175163986,-1297.599356618713
33.47,45.775277840284325,-1297.5992346815608
33.480000000000004,45.77381911786284,-1297.5991130671025
33.49,45.77235562555529,-1297.5989917719298
33.5,45.77088740443394,-1297.5988707988145
33.51,45.76941449546329,-1297.5987501465747
33.52,45.76793693949996,-1297.5986298164974
33.53,45.766454777292594,-1297.598509808253
33.54,45.7649680494817,-1297.5983901227742
33.55,45.76347679659956,-1297.5982707599753
33.56,45.761981059070116,-1297.598151720355
33.57,45.76048087720884,-1297.5980330040647
33.58,45.75897629122265,-1297.5979146115724
33.59,45.757467341209775,-1297.5977965431025
33.6,45.755954067159664,-1297.5976787990762
33.61,45.75443650895287,-1297.5975613796631
33.62,45.752914706360976,-1297.5974442850834
33.63,45.75138869904646,-1297.597327515657
33.64,45.74985852656261,-1297.5972110717578
33.65,45.74832422835344,-1297.5970949535856
33.660000000000004,45.74678584375357,-1297.5969791614655
33.67,45.745243411988156,-1297.5968636955815
33.68,45.74369697217279,-1297.5967485561525
33.69,45.74214656331342,-1297.5966337434575
33.7,45.74059222430624,-1297.5965192578362
33.71,45.73903399393763,-1297.5964050993898
33.72,45.737471910884075,-1297.5962912682644
33.730000000000004,45.73590601371206,-1297.5961777649054
33.74,45.734336340878,-1297.5960645895088
33.75,45.732762930728185,-1297.5959517420786
33.76,45.73118582149868,-1297.5958392229206
33.77,45.72960505131525,-1297.595727032333
33.78,45.7280206581933,-1297.595615170398
33.79,45.726432680037824,-1297.5955036372625
33.8,45.72484115464329,-1297.5953924331857
33.81,45.72324611969362,-1297.5952815584153
33.82,45.721647612762084,-1297.5951710130948
33.83,45.720045671311276,-1297.595060797244
33.84,45.71844033269304,-1297.5949509111015
33.85,45.716831634148406,-1297.594841354987
33.86,45.71521961280752,-1297.594732128855
33.87,45.71360430568964,-1297.594623232803
33.88,45.711985749703025,-1297.5945146671775
33.89,45.7103639816449,-1297.5944064320151
33.9,45.70873903820144,-1297.5942985273514
33.910000000000004,45.707110955947684,-1297.5941909534058
33.92,45.70547977134749,-1297.5940837103503
33.93,45.70384552075352,-1297.5939767982052
33.94,45.70220824040717,-1297.5938702170317
33.95,45.70056796643854,-1297.5937639670592
33.96,45.6989247348664,-1297.59365804836
33.97,45.69727858159815,-1297.5935524609697
33.980000000000004,45.695629542429764,-1297.593447205036
33.99,45.69397765304579,-1298.250193639229
34.0,45.692278744883325,-1298.8848653498706
34.01,45.690578543125234,-1298.9341141444338
34.02,45.688875742588635,-1298.8872467413335
34.03,45.687170417656695,-1298.9187263576275
34.04,45.68546260212488,-1298.8975565945339
34.05,45.68375233086255,-1298.9114992595917
34.06,45.68203963859081,-1298.9020338410696
34.07,45.68032455991827,-1298.9081743844083
34.08,45.67860712934007,-1298.9039115149637
34.09,45.676887381237876,-1298.9065848161422
34.1,45.67516534987984,-1298.9046345657996
34.11,45.67344106942065,-1298.9057672453541
34.12,45.67171457390148,-1298.9048452004138
34.13,45.66998589725005,-1298.9052935338204
34.14,45.66825507328056,-1298.9048288437623
34.15,45.66652213569374,-1298.9049733981399
34.160000000000004,45.66478711807683,-1298.904712351531
34.17,45.66305005390361,-1298.9047222674565
34.18,45.66131097653439,-1298.9045521034989
34.19,45.65956991921602,-1298.9045025545918
34.2,45.657826915081905,-1298.9043731574234
34.21,45.65608199715203,-1298.9042975540208
34.22,45.65433519833295,-1298.9041866496432
34.230000000000004,45.652586551417826,-1298.9040998407527
34.24,45.65083608908643,-1298.9039975295002
34.25,45.64908384390518,-1298.9039061144167
34.26,45.64732984832713,-1298.9038079963211
34.27,45.64557413469204,-1298.9037149077794
34.28,45.643816735226345,-1298.9036190269983
34.29,45.64205768204322,-1298.9035255684564
34.300000000000004,45.64029700714259,-1298.9034310556438
34.31,45.63853474241117,-1298.90333780596
34.32,45.636770919622464,-1298.9032442743517
34.33,45.63500557043684,-1298.9031514907194
34.34,45.63323872640153,-1298.9030587682062
34.35,45.63147041895068,-1298.9029665645455
34.36,45.62970067940537,-1298.902874574491
34.37,45.62792953897366,-1298.9027830012994
34.38,45.62615702875065,-1298.9026917092335
34.39,45.624383179718464,-1298.902600788628
34.4,45.622608022746356,-1298.9025101789305
34.410000000000004,45.62083158859071,-1298.9024199202163
34.42,45.6190539078951,-1298.9023299855887
34.43,45.61727501119033,-1298.9022403927797
34.44,45.61549492889448,-1298.9021511297815
34.45,45.61371369131295,-1298.9020622043256
34.46,45.61193132863854,-1298.9019736108933
34.47,45.61014787095146,-1298.9018853528667
34.480000000000004,45.6083633482194,-1298.9017974277217
34.49,45.60657779029759,-1298.9017098369013
34.5,45.60479122692885,-1298.9016225791863
